Academic_Year,AY_Start,sector,Strand,Grade_11,Grade_12
SY 2019-2020,2019,SUC-LUC,STEM,11807,10415
SY 2020-2021,2020,SUC-LUC,STEM,10318,11657
SY 2016-2017,2016,Public,TVL,354736,0
SY 2017-2018,2017,Public,TVL,342165,305500
SY 2018-2019,2018,Public,TVL,395468,322433
SY 2019-2020,2019,Public,TVL,404009,354538
SY 2020-2021,2020,Public,TVL,391932,359941
SY 2016-2017,2016,Private,TVL,193640,0
SY 2017-2018,2017,Private,TVL,189688,163253
SY 2018-2019,2018,Private,TVL,178334,166702
SY 2019-2020,2019,Private,TVL,156225,152970
SY 2020-2021,2020,Private,TVL,103664,128948
SY 2016-2017,2016,SUC-LUC,TVL,14196,0
SY 2017-2018,2017,SUC-LUC,TVL,14188,11113
SY 2018-2019,2018,SUC-LUC,TVL,9337,13652
SY 2019-2020,2019,SUC-LUC,TVL,6256,8533
SY 2020-2021,2020,SUC-LUC,TVL,3666,5705
